"Gene.Symbol","P.Value","adj.P.Val","logFC"
"POLR3H",8.5278863915978e-07,1.66261644360812e-05,-0.672715672131267
"POLR3K",0.284433052936819,0.423863697765171,-0.184994905684675
"POLRMT",0.99380870502168,0.995862161376087,-0.00125498970772071
"POM121",0.0183453107638704,0.0531555036864273,-0.335312461570085
"POM121C",0.00328602921755151,0.0135784057577932,-0.435141923105312
"POMC",0.000448942971666486,0.00273543226434715,0.554356748810537
"POMGNT1",0.000331763732803087,0.00212683927325054,-0.552389400138192
"POMGNT2",0.00613486683766716,0.0224174707920312,-0.372248022433116
"POMK",0.535368081294966,0.661600354643779,0.154687091636117
"POMP",0.436956934150185,0.575990372978571,-0.157350285306048
"POMT1",0.890182084915412,0.929659204293559,0.0189107327518069
"POMT2",0.108752616598837,0.208774351434605,0.189222540513168
"POMZP3",0.011333512850371,0.0365893043322046,-0.452860258131721
"PON1",0.000382279893240912,0.00239701077301241,1.2696515766501
"PON2",0.842503797336302,0.898736350760385,-0.0414533885231774
"PON3",2.52445323602399e-05,0.000268888056073139,1.43201864615097
"POP1",0.630323048720263,0.740610493117032,0.063602140063219
"POP4",0.616145054188493,0.729808815139003,-0.0601069438193634
"POP5",0.893002696123472,0.931385891376724,0.021029124648193
"POP7",0.011280584910886,0.0364563509437819,-0.41733708584483
"POPDC2",0.0105815992860858,0.034615480463905,-0.380928187353151
"POPDC3",0.0522471802614487,0.11916872288028,0.396312610436049
"POR",0.325899669428924,0.467410773553664,-0.169415837287776
"PORCN",0.00285719717992421,0.0122016629155872,-0.475375296178061
"POSTN",0.361941811401079,0.50494201466499,-0.395098822818641
"POT1",0.203969160874102,0.332081138019848,0.175251419814735
"POTEE",0.0502220997941343,0.11556891558499,-0.253925175935643
"POTEF",0.153234294495525,0.268978963496895,-0.186796940025385
"POTEG",0.025302671223114,0.0680776967252957,-0.385315661919029
"POTEH",0.0226779182960241,0.0625255687679977,-0.426357015040486
"POTEI",0.0703770152793383,0.149488504406448,-0.313961080807599
"POTEJ",0.183522347224208,0.306179671745053,-0.232720813790418
"POU2AF1",0.557407014295692,0.680705024776113,0.164973933360403
"POU2F1",7.02164961595032e-05,0.000610889823100346,0.43334526684024
"POU2F2",0.171324716373713,0.291482680544577,0.240318046786388
"POU2F3",0.294060640606344,0.434261837013237,-0.14153700675571
"POU4F1",3.79336411588971e-09,1.76784437581058e-07,0.842345705028637
"POU5F1",0.687163015554729,0.78464298715281,0.0619098294328399
"POU5F1B",0.042925368885928,0.102517513041046,-0.265198383314294
